sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,20,17,49,46,1,0.00625
0,1,1,0,17,11,58,57,1,0.00625
0,2,2,0,20,17,64,62,1,0.00625
0,3,3,0,22,11,46,43,1,0.00625
0,4,0,1,15,17,58,58,0,0.0
0,5,1,1,15,13,63,61,2,0.0125
0,6,2,1,21,14,71,70,1,0.00625
0,7,3,1,15,9,53,51,1,0.00625
0,8,0,2,21,16,59,58,0,0.0
0,9,1,2,17,13,63,61,2,0.0125
0,10,2,2,20,18,77,73,2,0.0125
0,11,3,2,12,25,61,59,0,0.0
0,12,0,3,15,11,36,36,0,0.0
0,13,1,3,27,13,60,56,2,0.0125
0,14,2,3,17,10,58,57,1,0.00625
0,15,3,3,19,19,47,46,1,0.00625
1,0,0,0,15,18,46,47,2,0.0125
1,1,1,0,22,21,81,80,2,0.0125
1,2,2,0,22,17,70,71,1,0.00625
1,3,3,0,24,28,62,64,1,0.00625
1,4,0,1,16,21,63,62,0,0.0
1,5,1,1,20,17,86,85,1,0.00625
1,6,2,1,16,18,77,78,0,0.0
1,7,3,1,15,16,70,71,1,0.00625
1,8,0,2,9,13,55,54,1,0.00625
1,9,1,2,22,16,75,76,0,0.0
1,10,2,2,21,16,82,85,0,0.0
1,11,3,2,22,29,78,78,1,0.00625
1,12,0,3,9,20,41,41,0,0.0
1,13,1,3,19,13,59,61,1,0.00625
1,14,2,3,18,18,64,62,1,0.00625
1,15,3,3,20,19,46,45,0,0.0
2,0,0,0,16,13,33,34,0,0.0
2,1,1,0,13,21,53,53,0,0.0
2,2,2,0,21,15,56,56,0,0.0
2,3,3,0,19,19,52,50,2,0.0125
2,4,0,1,23,18,61,60,1,0.00625
2,5,1,1,24,16,85,86,1,0.00625
2,6,2,1,11,17,76,74,1,0.00625
2,7,3,1,21,16,75,73,2,0.0125
2,8,0,2,14,20,53,55,0,0.0
2,9,1,2,16,16,72,71,1,0.00625
2,10,2,2,23,18,75,75,0,0.0
2,11,3,2,19,31,80,80,0,0.0
2,12,0,3,20,20,51,51,0,0.0
