sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,25,23,64,63,0,0.0
0,1,1,0,17,10,54,49,5,0.03125
0,2,2,0,17,18,53,46,7,0.04375
0,3,3,0,20,6,27,26,1,0.00625
0,4,0,1,11,12,48,46,1,0.00625
0,5,1,1,16,16,58,57,0,0.0
0,6,2,1,17,15,69,66,1,0.00625
0,7,3,1,19,14,41,39,2,0.0125
0,8,0,2,27,10,49,46,3,0.01875
0,9,1,2,22,15,74,67,7,0.04375
0,10,2,2,14,14,64,62,1,0.00625
0,11,3,2,14,16,54,53,0,0.0
0,12,0,3,15,10,26,24,1,0.00625
0,13,1,3,20,14,47,42,5,0.03125
0,14,2,3,17,10,57,54,2,0.0125
0,15,3,3,16,15,57,56,1,0.00625
1,0,0,0,20,21,64,65,0,0.0
1,1,1,0,17,18,65,62,7,0.04375
1,2,2,0,14,19,48,48,7,0.04375
1,3,3,0,12,15,26,27,0,0.0
1,4,0,1,19,16,64,63,1,0.00625
1,5,1,1,19,18,70,70,1,0.00625
1,6,2,1,15,25,76,77,0,0.0
1,7,3,1,14,17,47,47,1,0.00625
1,8,0,2,21,15,49,49,3,0.01875
1,9,1,2,22,14,76,77,5,0.03125
1,10,2,2,23,20,86,86,2,0.0125
1,11,3,2,20,12,64,64,1,0.00625
1,12,0,3,16,13,30,27,3,0.01875
1,13,1,3,20,18,52,50,6,0.0375
1,14,2,3,12,21,63,65,1,0.00625
1,15,3,3,16,16,61,59,1,0.00625
2,0,0,0,20,19,63,63,0,0.0
2,1,1,0,21,15,54,60,1,0.00625
2,2,2,0,11,26,47,47,7,0.04375
2,3,3,0,15,11,26,22,4,0.025
2,4,0,1,16,23,61,62,1,0.00625
2,5,1,1,24,24,75,75,0,0.0
2,6,2,1,23,13,73,75,0,0.0
2,7,3,1,13,14,37,38,1,0.00625
2,8,0,2,18,11,40,43,0,0.0
2,9,1,2,11,23,69,73,1,0.00625
2,10,2,2,16,19,69,69,1,0.00625
2,11,3,2,13,21,56,57,0,0.0
2,12,0,3,11,11,21,23,3,0.01875
2,13,1,3,13,12,36,35,7,0.04375
2,14,2,3,23,14,61,58,3,0.01875
2,15,3,3,20,19,64,65,1,0.00625
3,0,0,0,15,15,59,59,0,0.0
3,1,1,0,22,21,70,66,5,0.03125
3,2,2,0,14,21,46,45,7,0.04375
3,3,3,0,10,11,21,22,3,0.01875
3,4,0,1,19,20,62,63,0,0.0
3,5,1,1,14,15,74,74,1,0.00625
3,6,2,1,31,15,80,76,3,0.01875
3,7,3,1,14,10,34,34,0,0.0
3,8,0,2,23,14,46,45,1,0.00625
3,9,1,2,15,30,75,76,0,0.0
3,10,2,2,19,17,71,70,2,0.0125
3,11,3,2,19,23,63,62,0,0.0
3,12,0,3,10,12,21,20,4,0.025
3,13,1,3,11,11,32,33,6,0.0375
3,14,2,3,23,18,61,62,3,0.01875
3,15,3,3,17,19,63,63,1,0.00625
4,0,0,0,25,25,71,68,2,0.0125
4,1,1,0,21,19,62,65,2,0.0125
4,2,2,0,12,24,46,46,8,0.05
4,3,3,0,11,12,23,22,4,0.025
4,4,0,1,22,22,65,66,0,0.0
4,5,1,1,21,20,83,83,1,0.00625
4,6,2,1,24,19,83,84,2,0.0125
4,7,3,1,16,15,43,44,0,0.0
4,8,0,2,24,13,49,48,1,0.00625
4,9,1,2,25,23,91,85,6,0.0375
4,10,2,2,16,17,82,83,1,0.00625
4,11,3,2,21,17,67,66,1,0.00625
4,12,0,3,13,11,24,24,4,0.025
