sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,29,26,72,69,2,0.0125
0,1,1,0,30,25,94,90,3,0.01875
0,2,2,0,32,29,106,100,6,0.0375
0,3,3,0,33,24,73,68,5,0.03125
0,4,0,1,23,25,95,90,2,0.0125
0,5,1,1,25,26,106,102,4,0.025
0,6,2,1,36,21,112,112,0,0.0
0,7,3,1,25,26,87,84,2,0.0125
0,8,0,2,32,25,100,97,1,0.00625
0,9,1,2,34,23,117,109,6,0.0375
0,10,2,2,33,23,127,119,6,0.0375
0,11,3,2,24,15,86,83,2,0.0125
0,12,0,3,23,22,59,59,0,0.0
0,13,1,3,35,14,87,83,2,0.0125
0,14,2,3,31,22,96,92,3,0.01875
0,15,3,3,29,24,64,62,1,0.00625
1,0,0,0,31,27,80,77,5,0.03125
1,1,1,0,29,29,114,111,5,0.03125
1,2,2,0,25,29,101,101,6,0.0375
1,3,3,0,29,26,61,62,4,0.025
1,4,0,1,27,27,103,100,6,0.0375
1,5,1,1,24,31,132,130,4,0.025
1,6,2,1,33,25,125,121,2,0.0125
1,7,3,1,25,20,83,83,0,0.0
1,8,0,2,23,29,94,96,1,0.00625
1,9,1,2,23,27,126,129,4,0.025
1,10,2,2,29,31,124,129,2,0.0125
1,11,3,2,31,28,102,102,2,0.0125
1,12,0,3,32,33,71,70,1,0.00625
1,13,1,3,25,33,94,94,3,0.01875
1,14,2,3,24,18,87,88,2,0.0125
1,15,3,3,25,24,69,68,1,0.00625
2,0,0,0,22,23,71,72,3,0.01875
2,1,1,0,34,24,103,106,3,0.01875
2,2,2,0,33,29,108,108,6,0.0375
2,3,3,0,33,22,70,70,4,0.025
2,4,0,1,33,39,112,116,4,0.025
2,5,1,1,31,25,118,122,1,0.00625
2,6,2,1,30,32,133,130,7,0.04375
2,7,3,1,32,37,109,108,3,0.01875
2,8,0,2,33,31,114,108,5,0.03125
2,9,1,2,28,29,129,128,3,0.01875
2,10,2,2,31,26,128,129,0,0.0
2,11,3,2,19,31,102,101,3,0.01875
2,12,0,3,21,29,64,65,0,0.0
2,13,1,3,28,23,89,91,0,0.0
2,14,2,3,31,25,92,95,0,0.0
2,15,3,3,23,35,66,67,1,0.00625
3,0,0,0,37,27,78,77,5,0.03125
3,1,1,0,33,33,109,112,1,0.00625
3,2,2,0,29,27,100,104,2,0.0125
3,3,3,0,23,28,70,70,2,0.0125
3,4,0,1,30,22,107,108,2,0.0125
3,5,1,1,35,30,142,141,3,0.01875
3,6,2,1,29,35,125,127,5,0.03125
3,7,3,1,29,32,110,110,4,0.025
3,8,0,2,22,38,106,108,3,0.01875
3,9,1,2,34,29,135,135,5,0.03125
3,10,2,2,26,27,125,124,1,0.00625
3,11,3,2,32,35,113,114,1,0.00625
3,12,0,3,29,34,80,79,0,0.0
3,13,1,3,37,32,111,109,2,0.0125
3,14,2,3,31,31,111,110,1,0.00625
3,15,3,3,33,32,84,85,1,0.00625
4,0,0,0,31,32,82,86,1,0.00625
4,1,1,0,22,31,103,101,3,0.01875
4,2,2,0,31,26,110,109,1,0.00625
4,3,3,0,38,31,94,95,2,0.0125
4,4,0,1,26,25,99,98,2,0.0125
4,5,1,1,25,23,108,108,1,0.00625
4,6,2,1,33,26,123,127,1,0.00625
4,7,3,1,34,35,121,122,2,0.0125
4,8,0,2,28,33,98,101,1,0.00625
4,9,1,2,30,26,121,124,1,0.00625
4,10,2,2,29,34,137,139,1,0.00625
4,11,3,2,33,35,130,132,1,0.00625
4,12,0,3,21,34,67,67,1,0.00625
4,13,1,3,26,35,101,102,2,0.0125
4,14,2,3,31,28,108,107,2,0.0125
4,15,3,3,38,38,98,96,1,0.00625
5,0,0,0,32,32,79,81,0,0.0
5,1,1,0,37,27,104,104,1,0.00625
5,2,2,0,26,32,107,107,1,0.00625
5,3,3,0,37,32,75,75,2,0.0125
5,4,0,1,24,22,92,95,0,0.0
5,5,1,1,28,28,115,117,0,0.0
5,6,2,1,20,38,121,121,1,0.00625
5,7,3,1,20,29,87,89,1,0.00625
5,8,0,2,30,22,99,99,1,0.00625
5,9,1,2,21,21,118,119,1,0.00625
5,10,2,2,31,30,134,132,1,0.00625
5,11,3,2,34,34,109,105,4,0.025
5,12,0,3,39,35,88,85,2,0.0125
5,13,1,3,31,37,112,113,1,0.00625
5,14,2,3,28,24,103,100,3,0.01875
5,15,3,3,32,27,76,77,2,0.0125
6,0,0,0,28,33,68,68,0,0.0
6,1,1,0,34,29,103,105,1,0.00625
6,2,2,0,31,39,115,118,0,0.0
6,3,3,0,26,31,69,72,0,0.0
6,4,0,1,27,25,94,94,1,0.00625
6,5,1,1,27,32,123,121,2,0.0125
6,6,2,1,29,34,144,139,3,0.01875
6,7,3,1,32,32,100,99,1,0.00625
6,8,0,2,25,28,102,102,1,0.00625
6,9,1,2,31,34,133,129,4,0.025
6,10,2,2,26,27,139,138,3,0.01875
6,11,3,2,37,23,92,95,1,0.00625
6,12,0,3,33,24,74,77,1,0.00625
6,13,1,3,25,22,98,97,2,0.0125
6,14,2,3,24,28,103,108,0,0.0
6,15,3,3,31,24,63,65,0,0.0
7,0,0,0,29,31,79,75,3,0.01875
7,1,1,0,29,30,96,92,4,0.025
7,2,2,0,32,33,99,97,0,0.0
7,3,3,0,29,32,76,74,2,0.0125
7,4,0,1,33,27,109,105,4,0.025
7,5,1,1,32,28,135,133,4,0.025
7,6,2,1,29,39,137,140,1,0.00625
7,7,3,1,28,22,101,99,2,0.0125
7,8,0,2,33,36,106,104,3,0.01875
7,9,1,2,26,24,125,129,2,0.0125
7,10,2,2,40,29,145,143,5,0.03125
7,11,3,2,34,32,107,108,1,0.00625
7,12,0,3,29,30,71,72,0,0.0
7,13,1,3,29,24,101,101,1,0.00625
7,14,2,3,32,32,116,111,4,0.025
7,15,3,3,27,29,75,73,1,0.00625
8,0,0,0,37,28,83,84,2,0.0125
8,1,1,0,31,33,119,121,2,0.0125
8,2,2,0,32,26,118,117,3,0.01875
8,3,3,0,29,31,83,80,3,0.01875
8,4,0,1,33,23,107,111,1,0.00625
8,5,1,1,27,34,148,147,4,0.025
8,6,2,1,38,37,150,149,2,0.0125
8,7,3,1,37,33,109,108,5,0.03125
8,8,0,2,27,38,112,113,1,0.00625
8,9,1,2,30,29,143,141,4,0.025
8,10,2,2,27,33,131,135,1,0.00625
8,11,3,2,31,36,104,104,1,0.00625
8,12,0,3,35,32,80,77,2,0.0125
8,13,1,3,32,34,105,105,2,0.0125
8,14,2,3,27,28,95,98,0,0.0
8,15,3,3,28,30,77,77,1,0.00625
9,0,0,0,35,26,73,75,0,0.0
9,1,1,0,27,29,97,96,2,0.0125
9,2,2,0,33,30,108,107,3,0.01875
9,3,3,0,27,35,81,83,1,0.00625
9,4,0,1,32,28,100,98,1,0.00625
9,5,1,1,27,26,126,130,1,0.00625
9,6,2,1,30,28,138,135,4,0.025
9,7,3,1,29,40,114,116,3,0.01875
9,8,0,2,31,27,97,96,3,0.01875
9,9,1,2,28,32,131,128,6,0.0375
9,10,2,2,25,24,123,121,2,0.0125
9,11,3,2,29,18,99,96,2,0.0125
9,12,0,3,34,32,77,77,2,0.0125
9,13,1,3,20,25,99,100,1,0.00625
9,14,2,3,24,32,101,101,2,0.0125
9,15,3,3,31,35,75,76,1,0.00625
10,0,0,0,37,23,76,73,2,0.0125
10,1,1,0,27,38,115,116,1,0.00625
10,2,2,0,33,30,110,111,3,0.01875
10,3,3,0,32,36,76,79,0,0.0
10,4,0,1,19,25,86,87,1,0.00625
10,5,1,1,34,34,149,143,5,0.03125
10,6,2,1,35,23,142,142,6,0.0375
10,7,3,1,34,26,106,104,4,0.025
10,8,0,2,33,34,103,103,3,0.01875
10,9,1,2,32,21,128,133,0,0.0
10,10,2,2,24,26,135,138,1,0.00625
10,11,3,2,22,35,107,107,2,0.0125
10,12,0,3,30,31,76,79,0,0.0
10,13,1,3,34,27,110,108,3,0.01875
10,14,2,3,23,38,116,114,2,0.0125
10,15,3,3,33,30,77,77,1,0.00625
11,0,0,0,30,35,76,80,0,0.0
11,1,1,0,37,36,113,114,1,0.00625
11,2,2,0,20,21,90,92,0,0.0
11,3,3,0,34,30,78,77,1,0.00625
11,4,0,1,37,31,114,112,4,0.025
11,5,1,1,33,26,139,143,4,0.025
11,6,2,1,34,25,133,135,3,0.01875
11,7,3,1,20,42,105,106,1,0.00625
11,8,0,2,24,21,86,86,4,0.025
11,9,1,2,34,31,125,124,1,0.00625
11,10,2,2,21,27,115,113,2,0.0125
11,11,3,2,20,29,90,93,0,0.0
11,12,0,3,25,23,61,61,0,0.0
11,13,1,3,30,27,96,96,2,0.0125
11,14,2,3,28,34,102,103,3,0.01875
11,15,3,3,28,30,76,76,1,0.00625
12,0,0,0,32,31,72,69,1,0.00625
12,1,1,0,27,29,100,101,0,0.0
12,2,2,0,29,29,97,97,0,0.0
12,3,3,0,22,36,68,68,0,0.0
12,4,0,1,28,22,85,86,3,0.01875
12,5,1,1,28,30,132,132,2,0.0125
12,6,2,1,32,27,127,132,0,0.0
12,7,3,1,33,28,105,107,0,0.0
12,8,0,2,31,33,95,98,1,0.00625
12,9,1,2,27,38,121,120,4,0.025
12,10,2,2,31,34,120,120,1,0.00625
12,11,3,2,26,31,105,103,2,0.0125
12,12,0,3,31,36,85,83,1,0.00625
12,13,1,3,34,18,97,98,2,0.0125
12,14,2,3,25,25,95,95,1,0.00625
12,15,3,3,31,29,77,75,2,0.0125
13,0,0,0,27,32,72,75,0,0.0
13,1,1,0,23,29,101,101,1,0.00625
13,2,2,0,32,35,108,104,3,0.01875
13,3,3,0,32,22,75,71,3,0.01875
13,4,0,1,32,29,96,97,1,0.00625
13,5,1,1,23,28,127,126,5,0.03125
13,6,2,1,31,28,125,117,7,0.04375
13,7,3,1,27,32,104,103,1,0.00625
13,8,0,2,27,36,103,100,3,0.01875
13,9,1,2,31,29,138,138,3,0.01875
13,10,2,2,33,26,122,121,4,0.025
13,11,3,2,31,27,97,98,2,0.0125
13,12,0,3,29,22,70,70,2,0.0125
13,13,1,3,33,31,113,113,2,0.0125
13,14,2,3,30,22,100,102,0,0.0
13,15,3,3,35,29,78,79,1,0.00625
14,0,0,0,32,28,77,74,1,0.00625
14,1,1,0,27,26,102,100,2,0.0125
14,2,2,0,26,34,107,107,5,0.03125
14,3,3,0,38,36,76,78,1,0.00625
14,4,0,1,32,25,102,102,0,0.0
14,5,1,1,28,25,122,123,3,0.01875
14,6,2,1,22,22,118,124,1,0.00625
14,7,3,1,20,24,87,87,2,0.0125
14,8,0,2,41,39,123,123,3,0.01875
14,9,1,2,25,25,140,137,5,0.03125
14,10,2,2,29,34,139,139,3,0.01875
14,11,3,2,35,30,107,106,0,0.0
14,12,0,3,35,36,88,88,2,0.0125
14,13,1,3,36,35,112,109,6,0.0375
14,14,2,3,29,30,106,105,2,0.0125
14,15,3,3,31,23,71,70,2,0.0125
15,0,0,0,30,25,78,81,0,0.0
15,1,1,0,36,34,119,118,2,0.0125
15,2,2,0,29,24,104,107,2,0.0125
15,3,3,0,27,23,72,74,1,0.00625
15,4,0,1,38,29,114,110,5,0.03125
15,5,1,1,32,30,149,147,4,0.025
15,6,2,1,30,36,137,134,3,0.01875
15,7,3,1,27,30,107,105,3,0.01875
15,8,0,2,38,37,120,121,2,0.0125
15,9,1,2,28,30,147,146,6,0.0375
15,10,2,2,21,32,134,133,3,0.01875
15,11,3,2,37,44,127,128,2,0.0125
15,12,0,3,37,30,87,85,4,0.025
15,13,1,3,29,28,120,122,2,0.0125
15,14,2,3,30,26,114,113,2,0.0125
15,15,3,3,31,36,89,92,0,0.0
16,0,0,0,28,34,82,78,3,0.01875
16,1,1,0,27,29,97,98,1,0.00625
16,2,2,0,25,34,105,100,7,0.04375
16,3,3,0,40,28,82,80,2,0.0125
16,4,0,1,33,24,109,110,4,0.025
16,5,1,1,23,20,113,115,3,0.01875
16,6,2,1,31,19,121,126,0,0.0
16,7,3,1,25,28,100,103,1,0.00625
16,8,0,2,26,26,111,111,2,0.0125
16,9,1,2,31,31,136,141,1,0.00625
16,10,2,2,22,29,146,145,4,0.025
16,11,3,2,35,33,119,118,1,0.00625
16,12,0,3,31,41,88,89,1,0.00625
16,13,1,3,28,21,94,94,2,0.0125
16,14,2,3,28,37,106,107,1,0.00625
16,15,3,3,23,33,71,71,0,0.0
17,0,0,0,27,40,79,81,1,0.00625
17,1,1,0,36,35,115,115,1,0.00625
17,2,2,0,32,29,114,117,3,0.01875
17,3,3,0,32,44,84,86,1,0.00625
17,4,0,1,30,18,100,103,1,0.00625
17,5,1,1,24,33,126,126,3,0.01875
17,6,2,1,34,30,134,132,2,0.0125
17,7,3,1,28,28,107,106,1,0.00625
17,8,0,2,34,38,116,117,1,0.00625
