sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,19,17,45,44,1,0.00625
0,1,1,0,17,14,52,51,1,0.00625
0,2,2,0,21,20,61,58,1,0.00625
0,3,3,0,22,16,43,43,0,0.0
0,4,0,1,14,14,59,59,0,0.0
0,5,1,1,15,16,69,68,1,0.00625
0,6,2,1,21,13,73,71,2,0.0125
0,7,3,1,15,20,55,53,1,0.00625
0,8,0,2,21,14,66,64,1,0.00625
0,9,1,2,18,19,73,70,1,0.00625
0,10,2,2,19,17,73,70,2,0.0125
0,11,3,2,12,6,44,44,0,0.0
0,12,0,3,15,16,40,39,0,0.0
0,13,1,3,28,8,55,53,1,0.00625
0,14,2,3,17,15,61,59,1,0.00625
0,15,3,3,19,13,41,40,0,0.0
1,0,0,0,16,24,54,52,2,0.0125
1,1,1,0,21,22,70,69,2,0.0125
1,2,2,0,22,23,68,71,0,0.0
1,3,3,0,22,18,48,48,0,0.0
1,4,0,1,17,24,79,77,0,0.0
1,5,1,1,20,18,85,81,2,0.0125
1,6,2,1,15,15,73,75,0,0.0
1,7,3,1,15,16,55,57,0,0.0
1,8,0,2,10,18,69,69,1,0.00625
1,9,1,2,24,13,84,83,3,0.01875
1,10,2,2,20,13,77,79,1,0.00625
1,11,3,2,21,18,62,60,2,0.0125
1,12,0,3,9,19,39,40,0,0.0
1,13,1,3,19,18,63,62,1,0.00625
1,14,2,3,17,14,61,62,0,0.0
1,15,3,3,22,24,50,50,0,0.0
2,0,0,0,16,14,36,39,0,0.0
2,1,1,0,13,18,55,57,0,0.0
2,2,2,0,21,15,61,60,0,0.0
2,3,3,0,19,16,41,40,1,0.00625
2,4,0,1,23,18,75,76,0,0.0
2,5,1,1,24,24,91,94,2,0.0125
2,6,2,1,11,19,83,79,2,0.0125
2,7,3,1,21,11,56,55,0,0.0
2,8,0,2,14,26,73,75,0,0.0
2,9,1,2,16,18,81,83,1,0.00625
2,10,2,2,23,25,81,81,0,0.0
2,11,3,2,19,19,53,54,1,0.00625
2,12,0,3,20,26,58,58,0,0.0
2,13,1,3,18,20,72,75,0,0.0
2,14,2,3,20,11,58,58,0,0.0
2,15,3,3,13,12,30,31,0,0.0
3,0,0,0,26,15,52,51,1,0.00625
3,1,1,0,24,16,71,70,1,0.00625
3,2,2,0,19,26,79,79,1,0.00625
3,3,3,0,17,17,50,51,0,0.0
3,4,0,1,21,24,72,69,3,0.01875
3,5,1,1,23,15,91,89,3,0.01875
3,6,2,1,20,19,101,101,4,0.025
3,7,3,1,22,27,83,83,1,0.00625
3,8,0,2,19,17,64,62,1,0.00625
3,9,1,2,17,20,78,77,1,0.00625
3,10,2,2,15,17,82,81,1,0.00625
3,11,3,2,20,20,77,76,0,0.0
3,12,0,3,15,21,44,44,0,0.0
3,13,1,3,22,17,67,66,1,0.00625
3,14,2,3,26,19,76,76,1,0.00625
3,15,3,3,20,29,64,64,0,0.0
4,0,0,0,19,14,45,46,0,0.0
4,1,1,0,17,21,74,73,2,0.0125
4,2,2,0,21,12,69,70,0,0.0
4,3,3,0,28,10,55,53,2,0.0125
4,4,0,1,18,21,68,69,2,0.0125
4,5,1,1,14,24,87,89,1,0.00625
4,6,2,1,23,28,85,88,1,0.00625
4,7,3,1,14,23,68,68,1,0.00625
4,8,0,2,20,29,80,78,3,0.01875
4,9,1,2,16,19,96,99,0,0.0
4,10,2,2,24,17,96,95,2,0.0125
4,11,3,2,23,31,84,86,0,0.0
4,12,0,3,16,18,51,50,1,0.00625
4,13,1,3,15,21,70,71,0,0.0
4,14,2,3,26,18,69,68,1,0.00625
4,15,3,3,22,21,55,54,1,0.00625
5,0,0,0,27,27,64,64,0,0.0
5,1,1,0,29,29,86,87,1,0.00625
5,2,2,0,20,21,82,81,1,0.00625
5,3,3,0,28,26,64,66,0,0.0
5,4,0,1,18,15,73,74,1,0.00625
5,5,1,1,21,19,91,92,1,0.00625
5,6,2,1,17,24,93,91,1,0.00625
5,7,3,1,22,23,81,79,2,0.0125
5,8,0,2,31,29,87,90,1,0.00625
5,9,1,2,17,23,102,100,0,0.0
5,10,2,2,26,26,99,102,0,0.0
5,11,3,2,29,23,87,86,0,0.0
5,12,0,3,39,25,69,70,0,0.0
5,13,1,3,26,28,95,93,1,0.00625
5,14,2,3,22,23,85,84,1,0.00625
5,15,3,3,26,23,63,60,2,0.0125
6,0,0,0,23,20,57,56,1,0.00625
6,1,1,0,21,19,71,72,0,0.0
6,2,2,0,19,16,64,64,0,0.0
6,3,3,0,14,23,44,43,1,0.00625
6,4,0,1,22,17,79,78,1,0.00625
6,5,1,1,20,15,80,79,1,0.00625
6,6,2,1,16,14,82,82,1,0.00625
6,7,3,1,18,25,76,78,0,0.0
6,8,0,2,16,20,74,73,2,0.0125
6,9,1,2,26,18,83,85,0,0.0
6,10,2,2,23,24,103,100,2,0.0125
6,11,3,2,23,22,87,87,0,0.0
6,12,0,3,20,21,53,52,1,0.00625
6,13,1,3,18,20,68,68,1,0.00625
6,14,2,3,13,17,71,72,1,0.00625
6,15,3,3,18,26,58,61,0,0.0
7,0,0,0,28,23,61,60,1,0.00625
7,1,1,0,21,16,69,69,0,0.0
7,2,2,0,18,21,70,70,1,0.00625
7,3,3,0,25,24,57,58,0,0.0
7,4,0,1,27,19,77,79,1,0.00625
7,5,1,1,17,22,91,89,3,0.01875
7,6,2,1,25,23,99,99,2,0.0125
7,7,3,1,19,17,74,73,1,0.00625
7,8,0,2,24,14,69,69,1,0.00625
7,9,1,2,14,13,78,77,1,0.00625
7,10,2,2,27,20,86,85,2,0.0125
7,11,3,2,25,27,80,81,0,0.0
7,12,0,3,20,27,57,56,1,0.00625
7,13,1,3,15,25,70,71,0,0.0
7,14,2,3,16,20,55,56,1,0.00625
7,15,3,3,22,25,49,50,0,0.0
8,0,0,0,18,19,47,47,2,0.0125
8,1,1,0,19,19,73,66,5,0.03125
8,2,2,0,29,28,90,89,2,0.0125
8,3,3,0,18,20,54,52,0,0.0
8,4,0,1,22,12,59,59,1,0.00625
8,5,1,1,16,19,81,84,1,0.00625
8,6,2,1,24,28,101,102,0,0.0
8,7,3,1,16,24,68,69,0,0.0
8,8,0,2,13,17,54,55,0,0.0
8,9,1,2,20,18,81,79,2,0.0125
8,10,2,2,21,20,86,89,1,0.00625
8,11,3,2,25,18,70,69,1,0.00625
8,12,0,3,13,17,34,35,0,0.0
8,13,1,3,16,22,59,59,1,0.00625
8,14,2,3,17,15,67,68,0,0.0
8,15,3,3,22,11,49,47,1,0.00625
9,0,0,0,20,25,55,57,0,0.0
9,1,1,0,17,16,65,72,0,0.0
9,2,2,0,25,23,83,84,0,0.0
9,3,3,0,18,23,53,55,0,0.0
9,4,0,1,17,16,65,64,1,0.00625
9,5,1,1,24,20,92,90,0,0.0
9,6,2,1,16,23,95,93,1,0.00625
9,7,3,1,18,19,63,63,0,0.0
9,8,0,2,16,20,66,66,0,0.0
9,9,1,2,25,21,91,92,0,0.0
9,10,2,2,21,16,85,84,2,0.0125
9,11,3,2,15,12,54,52,2,0.0125
9,12,0,3,22,19,47,46,2,0.0125
9,13,1,3,13,12,54,54,1,0.00625
9,14,2,3,18,21,60,58,1,0.00625
9,15,3,3,16,18,36,36,1,0.00625
10,0,0,0,28,23,62,61,0,0.0
10,1,1,0,24,29,99,97,0,0.0
10,2,2,0,24,28,96,96,0,0.0
10,3,3,0,29,20,63,63,0,0.0
10,4,0,1,19,20,77,78,1,0.00625
10,5,1,1,21,22,102,104,1,0.00625
10,6,2,1,18,32,103,107,0,0.0
10,7,3,1,27,20,82,80,2,0.0125
10,8,0,2,23,29,99,99,1,0.00625
10,9,1,2,24,23,119,121,0,0.0
10,10,2,2,25,22,109,111,0,0.0
10,11,3,2,17,28,80,82,1,0.00625
10,12,0,3,25,23,65,65,1,0.00625
10,13,1,3,30,23,91,90,2,0.0125
10,14,2,3,25,23,86,84,2,0.0125
10,15,3,3,24,21,59,59,1,0.00625
11,0,0,0,19,14,45,45,0,0.0
11,1,1,0,19,17,69,67,1,0.00625
11,2,2,0,21,21,63,64,0,0.0
11,3,3,0,14,24,46,46,0,0.0
11,4,0,1,22,20,64,64,0,0.0
11,5,1,1,15,11,76,74,2,0.0125
11,6,2,1,18,25,80,78,2,0.0125
11,7,3,1,19,15,65,67,1,0.00625
11,8,0,2,14,17,68,66,2,0.0125
11,9,1,2,15,16,75,75,0,0.0
11,10,2,2,18,18,71,70,1,0.00625
11,11,3,2,16,18,60,60,1,0.00625
11,12,0,3,21,23,56,56,2,0.0125
11,13,1,3,18,14,68,67,2,0.0125
11,14,2,3,19,17,64,66,2,0.0125
11,15,3,3,20,14,42,43,0,0.0
12,0,0,0,24,21,56,55,1,0.00625
12,1,1,0,22,24,76,80,0,0.0
12,2,2,0,17,14,71,69,1,0.00625
12,3,3,0,21,18,52,51,1,0.00625
12,4,0,1,20,13,66,67,0,0.0
12,5,1,1,18,29,102,102,2,0.0125
12,6,2,1,19,22,95,96,1,0.00625
12,7,3,1,21,23,77,76,1,0.00625
12,8,0,2,22,29,69,71,0,0.0
12,9,1,2,23,18,96,94,1,0.00625
12,10,2,2,20,20,88,88,0,0.0
12,11,3,2,21,23,76,75,2,0.0125
12,12,0,3,25,18,48,50,0,0.0
12,13,1,3,13,27,72,75,0,0.0
12,14,2,3,20,20,72,71,3,0.01875
12,15,3,3,23,24,52,53,0,0.0
13,0,0,0,16,19,42,44,0,0.0
13,1,1,0,10,16,53,52,0,0.0
13,2,2,0,25,21,70,70,1,0.00625
13,3,3,0,24,30,54,54,1,0.00625
13,4,0,1,19,20,60,60,0,0.0
13,5,1,1,22,19,71,74,0,0.0
13,6,2,1,17,20,84,83,1,0.00625
13,7,3,1,15,30,72,73,1,0.00625
13,8,0,2,20,13,52,52,0,0.0
13,9,1,2,23,24,84,86,0,0.0
13,10,2,2,21,19,91,90,1,0.00625
13,11,3,2,10,11,58,59,1,0.00625
13,12,0,3,19,19,45,45,0,0.0
13,13,1,3,23,11,74,72,0,0.0
13,14,2,3,22,21,82,85,0,0.0
13,15,3,3,26,18,58,57,1,0.00625
14,0,0,0,19,16,49,48,0,0.0
14,1,1,0,20,28,84,83,1,0.00625
14,2,2,0,21,21,73,73,1,0.00625
14,3,3,0,19,21,43,44,0,0.0
14,4,0,1,21,16,62,61,1,0.00625
14,5,1,1,19,19,91,87,3,0.01875
14,6,2,1,17,19,82,81,2,0.0125
14,7,3,1,12,21,57,58,0,0.0
14,8,0,2,26,20,71,71,1,0.00625
14,9,1,2,22,18,101,99,2,0.0125
14,10,2,2,18,16,100,102,0,0.0
14,11,3,2,21,20,72,73,0,0.0
14,12,0,3,30,20,59,57,1,0.00625
14,13,1,3,31,19,85,85,2,0.0125
14,14,2,3,24,28,86,85,0,0.0
14,15,3,3,16,28,57,54,2,0.0125
15,0,0,0,18,16,47,47,0,0.0
15,1,1,0,15,23,61,62,0,0.0
15,2,2,0,15,19,59,61,0,0.0
15,3,3,0,28,20,58,57,0,0.0
15,4,0,1,30,18,84,83,2,0.0125
15,5,1,1,9,25,83,85,1,0.00625
15,6,2,1,21,13,79,79,1,0.00625
