sample_idx,router_id,x,y,injected,ejected,received_total,sent_total,stored_total,buffer_occupancy_norm
0,0,0,0,40,14,80,76,2,0.0125
0,1,1,0,46,23,132,128,3,0.01875
0,2,2,0,39,28,138,134,2,0.0125
0,3,3,0,42,20,132,125,5,0.03125
0,4,4,0,37,13,121,118,1,0.00625
0,5,5,0,46,28,143,138,2,0.0125
0,6,6,0,34,21,133,129,2,0.0125
0,7,7,0,39,19,89,87,1,0.00625
0,8,0,1,31,23,101,99,1,0.00625
0,9,1,1,38,32,154,152,1,0.00625
0,10,2,1,38,38,173,167,4,0.025
0,11,3,1,46,35,168,164,4,0.025
0,12,4,1,39,34,164,160,4,0.025
0,13,5,1,38,32,172,168,3,0.01875
0,14,6,1,40,39,174,168,3,0.01875
0,15,7,1,40,30,127,125,1,0.00625
0,16,0,2,40,25,112,108,2,0.0125
0,17,1,2,26,28,145,143,1,0.00625
0,18,2,2,36,32,155,152,2,0.0125
0,19,3,2,39,30,162,159,2,0.0125
0,20,4,2,41,38,166,161,3,0.01875
0,21,5,2,37,34,175,172,2,0.0125
0,22,6,2,37,32,165,162,3,0.01875
0,23,7,2,38,33,130,125,1,0.00625
0,24,0,3,36,25,103,100,2,0.0125
0,25,1,3,39,33,157,152,3,0.01875
0,26,2,3,41,23,157,154,1,0.00625
0,27,3,3,40,34,163,162,1,0.00625
0,28,4,3,45,32,161,155,4,0.025
0,29,5,3,37,33,173,168,3,0.01875
0,30,6,3,38,31,157,151,3,0.01875
0,31,7,3,28,30,122,121,0,0.0
0,32,0,4,31,19,95,92,2,0.0125
0,33,1,4,41,30,153,147,3,0.01875
0,34,2,4,42,34,176,172,3,0.01875
0,35,3,4,45,37,176,171,4,0.025
0,36,4,4,38,35,162,159,2,0.0125
0,37,5,4,36,37,174,170,3,0.01875
0,38,6,4,44,29,164,159,3,0.01875
0,39,7,4,36,34,139,134,3,0.01875
0,40,0,5,45,20,118,113,3,0.01875
0,41,1,5,42,24,166,161,3,0.01875
0,42,2,5,46,34,185,180,3,0.01875
0,43,3,5,39,35,177,171,3,0.01875
0,44,4,5,44,37,174,167,6,0.0375
0,45,5,5,37,31,182,175,5,0.03125
0,46,6,5,37,28,164,161,1,0.00625
0,47,7,5,40,37,140,138,1,0.00625
0,48,0,6,37,26,111,108,3,0.01875
0,49,1,6,33,37,161,156,2,0.0125
0,50,2,6,45,34,177,171,3,0.01875
0,51,3,6,45,39,184,178,4,0.025
0,52,4,6,36,32,166,162,3,0.01875
0,53,5,6,32,36,178,175,2,0.0125
0,54,6,6,37,29,164,161,1,0.00625
0,55,7,6,39,30,137,132,5,0.03125
0,56,0,7,34,24,83,82,0,0.0
0,57,1,7,42,29,131,126,3,0.01875
0,58,2,7,34,27,131,126,4,0.025
0,59,3,7,29,37,127,122,3,0.01875
0,60,4,7,41,37,137,135,0,0.0
0,61,5,7,33,33,138,137,1,0.00625
0,62,6,7,33,29,128,125,1,0.00625
0,63,7,7,40,32,105,102,2,0.0125
1,0,0,0,42,41,127,129,1,0.00625
1,1,1,0,44,35,166,164,5,0.03125
1,2,2,0,46,39,175,173,4,0.025
1,3,3,0,44,35,165,166,4,0.025
1,4,4,0,39,42,169,169,3,0.01875
1,5,5,0,41,37,159,158,3,0.01875
1,6,6,0,45,27,155,154,2,0.0125
1,7,7,0,45,39,128,126,2,0.0125
1,8,0,1,40,42,164,160,3,0.01875
1,9,1,1,38,43,197,197,2,0.0125
1,10,2,1,34,45,202,203,2,0.0125
1,11,3,1,37,42,195,195,2,0.0125
1,12,4,1,34,44,208,206,3,0.01875
1,13,5,1,41,37,192,193,3,0.01875
1,14,6,1,37,40,188,192,2,0.0125
1,15,7,1,44,41,165,163,3,0.01875
1,16,0,2,42,40,160,157,4,0.025
1,17,1,2,41,35,191,188,3,0.01875
1,18,2,2,38,42,192,191,3,0.01875
1,19,3,2,40,36,181,177,4,0.025
1,20,4,2,45,44,205,207,1,0.00625
1,21,5,2,38,35,189,189,2,0.0125
1,22,6,2,45,43,188,184,5,0.03125
1,23,7,2,39,41,163,164,2,0.0125
1,24,0,3,39,35,148,149,2,0.0125
1,25,1,3,43,41,195,192,5,0.03125
1,26,2,3,37,36,192,190,2,0.0125
1,27,3,3,39,32,178,173,2,0.0125
1,28,4,3,44,39,202,204,3,0.01875
1,29,5,3,41,45,201,201,4,0.025
1,30,6,3,41,39,185,184,3,0.01875
1,31,7,3,42,44,163,158,5,0.03125
1,32,0,4,38,34,153,151,2,0.0125
1,33,1,4,38,40,191,192,3,0.01875
1,34,2,4,44,40,203,201,5,0.03125
1,35,3,4,44,36,195,194,3,0.01875
1,36,4,4,43,40,210,209,2,0.0125
1,37,5,4,45,44,207,204,4,0.025
1,38,6,4,33,41,187,186,4,0.025
1,39,7,4,41,37,151,151,2,0.0125
1,40,0,5,40,38,156,160,0,0.0
1,41,1,5,34,37,188,190,3,0.01875
1,42,2,5,44,40,196,196,2,0.0125
1,43,3,5,41,43,198,201,1,0.00625
1,44,4,5,39,45,203,206,2,0.0125
1,45,5,5,43,42,196,199,2,0.0125
1,46,6,5,26,45,179,177,4,0.025
1,47,7,5,34,34,134,133,3,0.01875
1,48,0,6,36,38,156,156,2,0.0125
1,49,1,6,43,44,202,202,2,0.0125
1,50,2,6,44,35,198,198,3,0.01875
