model,split,rmse,mae
Persistence,train,0.010355101898312569,0.007272884715348482
Persistence,val,0.012334747239947319,0.009362398646771908
Persistence,test,0.012062042951583862,0.008979790844023228
MLP,train,0.009039577096700668,0.006954207085072994
GRU,train,0.008260323666036129,0.006039830390363932
STGNN,train,0.009650598280131817,0.007107915356755257
MLP,val,0.010273214429616928,0.007923031225800514
GRU,val,0.010076125152409077,0.00796778779476881
STGNN,val,0.011891334317624569,0.009799796156585217
MLP,test,0.011212391778826714,0.008855060674250126
GRU,test,0.009440788067877293,0.00724214781075716
STGNN,test,0.010648254305124283,0.008327430114150047
