model,split,rmse,mae
Persistence,train,0.011220419779419899,0.00768992118537426
MLP,train,0.009087679907679558,0.006714728660881519
GRU,train,0.008752942085266113,0.006153360940515995
STGNN,train,0.014027239754796028,0.01065400242805481
Persistence,val,0.014628298580646515,0.010298794135451317
MLP,val,0.011574096977710724,0.008411496877670288
GRU,val,0.011745947413146496,0.008324693888425827
STGNN,val,0.01178728323429823,0.008525271899998188
Persistence,test,0.011210555210709572,0.007984280586242676
MLP,test,0.009586459957063198,0.007301094010472298
GRU,test,0.008753149770200253,0.006359144113957882
STGNN,test,0.011434495449066162,0.008911523036658764
