model,split,rmse,mae
Persistence,train,0.011208628304302692,0.007682505063712597
MLP,train,0.009561210870742798,0.0072732046246528625
GRU,train,0.008874655701220036,0.006464726757258177
STGNN,train,0.009700524620711803,0.007319221273064613
Persistence,val,0.014612431637942791,0.010290127247571945
MLP,val,0.011414805427193642,0.008366228081285954
GRU,val,0.011309714056551456,0.008206396363675594
STGNN,val,0.01145199965685606,0.008163041435182095
Persistence,test,0.011225354857742786,0.007991944439709187
MLP,test,0.011045589111745358,0.008720392361283302
GRU,test,0.008930480107665062,0.006556686945259571
STGNN,test,0.010527475737035275,0.008564960211515427
