held_out,model,test_rmse,test_mae
uniform,Persistence,0.012584986165165901,0.009091737680137157
uniform,MLP,0.010319262742996216,0.00768151693046093
uniform,GRU,0.009946877136826515,0.007428760174661875
uniform,STGNN,0.017069505527615547,0.012657084502279758
transpose,Persistence,0.008116564713418484,0.005709104705601931
transpose,MLP,0.008096675388514996,0.006346387788653374
transpose,GRU,0.007901666685938835,0.006177981849759817
transpose,STGNN,0.015040124766528606,0.011838761158287525
neighbor,Persistence,0.008925494737923145,0.006603602785617113
neighbor,MLP,0.00716442009434104,0.005630878731608391
neighbor,GRU,0.0086497338488698,0.006602316629141569
neighbor,STGNN,0.013682261109352112,0.010880452580749989
hotspot,Persistence,0.01231056172400713,0.008900979533791542
hotspot,MLP,0.011114108376204967,0.008408673107624054
hotspot,GRU,0.010112142190337181,0.007577312644571066
hotspot,STGNN,0.01274525560438633,0.009578252211213112
