mesh,seed,model,test_rmse,test_mae
4x4,n/a,Persistence,0.012062042951583862,0.008979790844023228
4x4,0,MLP,0.011958985589444637,0.009550522081553936
4x4,0,GRU,0.009362044744193554,0.007212705910205841
4x4,0,STGNN,0.01035346370190382,0.008045457303524017
4x4,1,MLP,0.010711352340877056,0.008337986655533314
4x4,1,GRU,0.009384275414049625,0.007193268742412329
4x4,1,STGNN,0.01558082364499569,0.012311503291130066
4x4,2,MLP,0.011245804838836193,0.008952890522778034
4x4,2,GRU,0.009426610544323921,0.007215006276965141
4x4,2,STGNN,0.010342314839363098,0.00808752328157425
4x4,42,MLP,0.011525081470608711,0.009115519002079964
4x4,42,GRU,0.009393824264407158,0.007215726189315319
4x4,42,STGNN,0.011673621833324432,0.009301313199102879
4x4,123,MLP,0.011085335165262222,0.00871820654720068
4x4,123,GRU,0.009392240084707737,0.007214430719614029
4x4,123,STGNN,0.010346421040594578,0.008092204108834267
