mesh,seed,test_rmse,test_mae
4x4,0,0.015152574516832829,0.012113831005990505
4x4,1,0.009309226647019386,0.007160561624914408
4x4,2,0.010283667594194412,0.00804056879132986
4x4,42,0.009756435640156269,0.007563709747046232
4x4,123,0.009301034733653069,0.007134940009564161
8x8,0,0.00908812414854765,0.006996494252234697
8x8,1,0.00904401671141386,0.006753563415259123
8x8,2,0.009211104363203049,0.007065047975629568
8x8,42,0.009179702959954739,0.006897183135151863
8x8,123,0.008714144118130207,0.006289726123213768
