window,model,split,rmse,mae
3,STGNN,train,0.010618503205478191,0.007830244489014149
3,STGNN,val,0.015138507820665836,0.01286423858255148
3,STGNN,test,0.010584244504570961,0.008311601355671883
5,STGNN,train,0.012288009747862816,0.01009307149797678
5,STGNN,val,0.015124726109206676,0.012856968678534031
5,STGNN,test,0.011673621833324432,0.009301313199102879
7,STGNN,train,0.010435097850859165,0.0077354153618216515
7,STGNN,val,0.014141065999865532,0.011949564330279827
7,STGNN,test,0.010984614491462708,0.008635585196316242
10,STGNN,train,0.009810131043195724,0.0073435199446976185
10,STGNN,val,0.01257081888616085,0.010475195944309235
10,STGNN,test,0.009938064962625504,0.007839817553758621
